stop_code,stop_name,stop_lat,stop_lon
31852,יגאל אלון/גרינשפן,31.955587,34.815835
31853,קניון ראשונים/שדרות נים,31.949172,34.805243
31854,קניון ראשונים/שדרות נים,31.949262,34.804653
31855,יגאל אלון/מורדי הגטאות,31.956499,34.816975
38358,מנחם גינדי/חיים הרצוג,31.968574,34.82668
38359,יוסף בורג/מנחם גינדי,31.970026,34.821507
38360,כתריאל רפפורט/האחד עשר,31.968655,34.820969
38361,כתריאל רפפורט/דר יוסף בורג,31.968552,34.821348
38362,יוסף בורג/ההתיישבות,31.970626,34.822298
44237,תחנת מוניות ראשון לציון שד' יעקב,31.95521,34.821996
44236,תחנת מוניות ראשון לציון שד' יעקב,31.955195,34.822241
44235,תחנת מוניות ראשון לציון הרצל,31.964505,34.802816
44234,תחנת מוניות ראשון לציון הרצל,31.964904,34.803014
44233,תחנת מוניות ראשון לציון אבי האסירים,31.954363,34.804584
44232,תחנת מוניות ראשון לציון אבי האסירים,31.954163,34.804609
44231,תחנת מוניות ראשון לציון רכבת ראשונים,31.949086,34.803704
44230,תחנת מוניות ראשון לציון בנימין שמוטקין,31.982386,34.814526
44229,תחנת מוניות ראשון לציון בנימין שמוטקין,31.982462,34.814305
44228,תחנת מוניות ראשון לציון דוד סחרוב,31.990151,34.773305
44227,תחנת מוניות ראשון לציון דוד סחרוב,31.990031,34.773176
44098,תחנת מוניות ראשון לציון הטיילת ורחבעם זאבי,31.996899,34.73169
44097,תחנת מוניות ראשון לציון הטייל ורחבעם זאבי,31.996809,34.731702
44027,תחנת מוניות ראשל''צ הרב יוסף עזרן מבצע משה,31.979757,34.784985
44026,תחנת מוניות ראשל''צ הרב יוסף עזרן מבצע משה,31.979682,34.785202
